provider,model,type,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,p95_abs_err,mean_latency_s
openai,gpt-4.1,step_response,percent_overshoot,5,0.8,0.6797840000000002,0.1853549999999995,0.041950645573484255,2.01655,1.9993990421295167
openai,gpt-4.1,step_response,settling_time_s,5,0.0,0.33447560000000004,0.2919740000000002,0.5031626405220406,0.43638499999999997,1.9993990421295167
openai,gpt-4.1,step_response,steady_state,5,1.0,0.0021789999999999978,0.0,0.002203001703560287,0.008715999999999988,1.9993990421295167
